,hit_num,map,precision,purchased,recall,recall_num
"Image
(Euclidean)",0.004334187063820188,0.00035463415295939005,0.000361182255318349,0.7949141101369178,0.0007355749876216149,0.0
"Text
(Euclidean)",0.004810239785816141,0.00022634174504420623,0.0004008533154846787,0.7949141101369178,0.001050605319822038,0.0
"Popularity
(All)",0.003876832945405837,0.00024085650462117927,0.00032306941211715344,0.7949141101369178,0.001000371959276197,0.0
"Popularity
(Product)",0.013402991241742098,0.0007574371785503712,0.0011338484166686963,0.7949141101369178,0.0001751372510387245,0.0035266707604076036
"Popularity
(Region)",0.016903381544262706,0.0015672365367201827,0.0014813776715465684,0.7949141101369178,0.003843812407450505,0.005521201296328273
"Popularity
(Age)",0.003921745529978395,0.00024211490014633993,0.0003268121274981999,0.7949141101369178,0.0009978494440504445,0.0
"Popularity
(Buy Together)",0.004833485315170541,0.000493261616498555,0.0004027904429308783,0.7949141101369178,0.0009150050775809827,0.0
"Collaborative
Filtering",0.0036450835718551326,0.001009685816943463,0.0003037569643212611,0.7949141101369178,0.002248212126490206,0.0
"Item2Vec
(Cluster Popular)",0.025198283536855312,0.0018137486530416548,0.0020998569614046106,0.7949141101369178,0.0030636686096586455,0.0
"Item2Vec
(User-Item Similarity)",0.024864153055126487,0.0015376150730603809,0.002072012754593874,0.7949141101369178,0.0035520629481825524,0.0
Aggregation (1),0.017086100249755095,0.0009821333425475295,0.0014238416874795918,0.7949141101369178,0.0023303712341217015,0.0
Aggregation (2),0.018025901601545845,0.0011941262197545464,0.0015021584667954872,0.7949141101369178,0.0027787238446073293,0.0
Aggregation (3),0.016144874454125,0.0013206781978980196,0.001345406204510417,0.7949141101369178,0.002984750766013463,0.0
